cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.756083337751153,0.829007309573518,0.297882255768793,0.763921074980124,0.82161542331198,0.295895785773817
20100727,0.712178899082569,0.840241187384045,0.329186670966159,0.735396533659687,0.849375798992969,0.304471089478649
20100730,0.697628361858191,0.844141090242785,0.340177317443813,0.701870092019981,0.845627691978989,0.335726453405013
20100731,0.632918664515986,0.849815137676858,0.396615934793029,0.692618817969615,0.854039573724431,0.340275825037487
20100719,0.779248775687138,0.804214794733123,0.295064314407928,0.827298872690812,0.804950295389623,0.26051884124274
20100715,0.714780125889555,0.858768177528185,0.318271588845578,0.749329946756307,0.85095570157451,0.291632780198561
20100721,0.688570979405754,0.820851090782414,0.359280345332364,0.741337365106035,0.828634396220851,0.310278147552935
20110123,0.756838714745856,0.749569174912429,0.34906017933945,0.745056720724259,0.733018505265456,0.369154702230054
20110211,0.787205904310915,0.769309388231859,0.313846276890606,0.785366195893404,0.755773920608272,0.325136967631063
20110120,0.748828294867046,0.741389369441584,0.360508923186677,0.73482480400762,0.725113228895594,0.381943217635558
20110209,0.722890164443065,0.742005085921245,0.378617533472626,0.747834021702665,0.731619214091478,0.36826067785677
20110210,0.72062571221382,0.755782587052884,0.371068912013143,0.742234549940415,0.747094297674328,0.361115385317853
20110122,0.749170990520033,0.737253166870257,0.363250726518765,0.744549194294491,0.737727461213247,0.366117465763712
20110129,0.794965097282044,0.754801144413671,0.319627580339068,0.79809967246681,0.734270328859693,0.333730430710694
20110207,0.773922305061943,0.758268792267713,0.330975982422011,0.766429137146113,0.763055865181682,0.332712895751142
