cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.269769743236318,0.929643504054568,0.733611794081088,0.293551404780694,0.921759236247868,0.710768059777483
20100727,0.230733944954128,0.934128014842301,0.772081201606705,0.263074958325561,0.93381397085764,0.739891280865308
20100730,0.216063569682152,0.942583600549702,0.786036239435134,0.266424582222745,0.939317580040698,0.736081007538702
20100731,0.207879444063902,0.944620763474383,0.794054050411352,0.277141225552288,0.942487216987469,0.725143108638491
20100719,0.271785739391241,0.92310285743316,0.732263053751114,0.332999164569365,0.919639026476293,0.671824382209252
20100715,0.27459929484545,0.93748385915321,0.728089589889248,0.298888851996696,0.929706596867223,0.7046261451142
20100721,0.254938950898706,0.930417944750581,0.748303166704949,0.28164278186954,0.929511414044159,0.721807269006199
20110123,0.278890721973446,0.905469049627982,0.727278963970645,0.296499850250577,0.89360098124206,0.711500675958999
20110211,0.319724408609031,0.916686683716483,0.685358292364285,0.313944068100943,0.905856848962579,0.692485143942553
20110120,0.257211422313131,0.900771646432721,0.749387174492435,0.261060186281938,0.888189250228104,0.747351116987348
20110209,0.286476109215017,0.914107651999692,0.718675057425779,0.279535220373964,0.902931859875062,0.726974361658585
20110210,0.284201802548431,0.913091710716571,0.721054859369998,0.289400304399858,0.903920886578149,0.717065633971496
20110122,0.279288417274607,0.90270951359566,0.727248667389177,0.2775069250285,0.894079174375302,0.73021603973262
20110129,0.275310658943512,0.910855476640981,0.730151619244793,0.284150220169367,0.895365397369391,0.723456499971651
20110207,0.289253881944055,0.919492617279989,0.715291187562116,0.317872610775673,0.913519777808239,0.687587524581658
