cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.813921433494142,0.984571420110458,0.186717096138203,0.680260413302203,0.986795997894588,0.320012107541695
20100727,0.806261467889908,0.98389146567718,0.194407056719149,0.690115235617384,0.992187738692211,0.309983223131851
20100730,0.809755501222494,0.975071003206596,0.191870852909529,0.677665409203807,0.990223486372082,0.322482819143077
20100731,0.748016881366418,0.9815745315341,0.252655872610342,0.604619503696905,0.993356002064495,0.395436315435809
20100719,0.773929751388336,0.977147924238995,0.227222302325116,0.670979697785134,0.986903195146923,0.329280861221725
20100715,0.777249032034782,0.988956139156403,0.223024573963889,0.633557629428127,0.993070733243161,0.366507879435247
20100721,0.700859403657706,0.954237809567759,0.302620677504331,0.595424284983614,0.985547483760326,0.404833773796947
20110123,0.819420221541362,0.988458489938892,0.180948232493886,0.746729753919813,0.991151497894579,0.253424768992749
20110211,0.867110343209403,0.953598123578201,0.140757930566582,0.795842768453853,0.959374154190591,0.208160117554533
20110120,0.70492357744528,0.975739557914069,0.296072059130706,0.615362968127932,0.979092686863756,0.385204831265044
20110209,0.833482004343779,0.962202358018032,0.170753930018498,0.805384603725939,0.963770483148815,0.197958910782465
20110210,0.820739666424946,0.958015502405954,0.18411128491123,0.760866954701914,0.962654616490531,0.242031590960779
20110122,0.841044747005813,0.963478796156473,0.163096814146158,0.780785712600717,0.98241210171395,0.219918707631015
20110129,0.737759295014605,0.984044935603879,0.262725620050884,0.697012683051285,0.988245559064537,0.303215238920286
20110207,0.80352037670273,0.970284369636771,0.198714018274809,0.694982680931364,0.985199309585346,0.305376203016162
