,Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,feature
30,20110128,"0.24038095842,0.523598775598,1.11870038797,1.0327660819,0.645504888343","0.24038095842,0.575958653158,1.03883835318,1.0327660819,0.645504888343","0.24038095842,0.978951559417,0.603861628462","0.24038095842,0.578263085503,0.57773587349","0.251597355279,0.52614963137,1.03525596453,1.02256262344,0.604826115039","0.259545981454,0.578263085503,0.978951559417,0.604826115039","0.578263085503,0.24038095842,0.224544857017,1.0620975043,0.604826115039","0.24038095842,0.52614963137,0.978951559417,0.604826115039","0.259545981454,0.52614963137,0.988581458644,0.603861628462","0.259545981454,0.575958653158,1.0327660819,0.604826115039","0.24038095842,0.578263085503,0.988581458644,0.604826115039","0.24038095842,0.575958653158,0.978951559417,0.603861628462",sph_dist
31,20110129,"0.576215156707,1.22573493603,0.610841764316","0.263870916303,0.523882817659,0.610841764316,1.00330979322","0.308802718126,0.576215156707,0.919747241342,0.583716850973","0.523882817659,0.583716850973","0.256555542772,0.576215156707,0.70467575777,0.610841764316,1.046448986","0.523882817659,0.962779678159,0.583716850973","0.48899753357,0.256555542772,1.18236854452,0.583716850973","0.523882817659,1.00330979322,0.583716850973","0.48899753357,0.930905738597,0.584559595652","0.523882817659,0.583716850973,0.962779678159","0.256555542772,0.576215156707,0.79786084074,0.974420615538,0.583716850973","0.523882817659,0.111726788047,0.962779678159,0.584559595652",sph_dist
32,20110130,"0.85170212981,0.735277697748,0.453785605519,1.0736700526,0.628718394121","0.715477940788,0.692612568818,0.301939918538,0.453785605519,1.00600521222,0.628718394121","0.766597760855,0.791206061438,0.169205539258,0.453785605519,0.962887408492,0.590625572457","0.0778060144922,0.735277697748,0.418879020479,0.307681400448,0.625473480178","0.744744227293,0.253483910369,0.418879020479,1.03021372694,0.625473480178","0.253483910369,0.506145483078,0.989905774822,0.588501457121","0.0778060144922,0.506145483078,0.715477940788,1.04669010936,0.590625572457","0.766597760855,0.332067290929,0.962887408492,0.588501457121","0.735277697748,0.453785605519,0.390130383286,0.978749817408,0.590625572457","0.735277697748,0.506145483078,1.00600521222,0.588501457121","0.76885588782,0.715477940788,0.506145483078,0.301939918538,1.00600521222,0.590625572457","0.453785605519,0.989905774822,0.628718394121",sph_dist
33,20110131,"0.533729021754,1.10357473635,0.769028643959","0.384360930538,0.888793681763,1.06077401989,0.764225833962","0.474079439764,0.919337642087,0.177365057773,0.977072661289,0.764225833962","0.919337642087,0.769028643959","0.872573086359,0.212230784261,0.121751291032,1.01978888027,0.764225833962","0.919337642087,1.01978888027,0.764225833962","0.919337642087,1.01978888027,0.764225833962","0.872573086359,0.977072661289,0.769028643959,0.341167498414","0.341167498414,1.06077401989,0.769028643959","0.533729021754,1.03209612587,0.769028643959","0.472503470155,0.888793681763,0.386120441331,0.341167498414,1.03209612587","0.977072661289,0.764225833962",sph_dist
34,20110201,"0.727277708196,0.610698268705,1.16510128697,1.02364077529","0.570954853201,0.610698268705,0.939748199296","0.633998339179,0.610698268705,0.939748199296","0.572460422746,0.892263128087","0.157079632679,0.609148643874,0.967147407022","0.177542232594,0.939748199296,0.572460422746","0.982366799828,0.610698268705","0.572126750822,0.967147407022,0.359749550966","0.982366799828,0.610698268705","0.335456428848,0.954725306756,0.572460422746","0.616730202605,0.572460422746,0.982366799828","0.939748199296,0.610698268705",sph_dist
35,20110202,"0.596218106989,0.114121620087,0.605658510604,1.13229480406","0.554162799032,0.531494414925,0.134958693857,0.605658510604,1.13229480406","0.554162799032,0.134958693857,1.13229480406,0.605658510604","0.514102925281,0.134958693857,0.567370434482,1.14899078115","0.134958693857,1.14899078115,0.631164352431","0.134958693857,0.176879459847,0.567370434482,1.13229480406","0.134958693857,0.407732089657,1.14899078115,0.605658510604","0.424315230601,0.605458003047,1.14899078115","0.134958693857,1.14899078115,0.609248154054","0.142145992843,0.441436425951,0.510443946177,0.424315230601,1.14899078115,0.605658510604","0.134958693857,0.6320373969,0.534874649114,1.14899078115,0.567370434482","0.134958693857,1.14899078115,0.631164352431",sph_dist
36,20110203,"0.748733642099,0.732878779287,1.08445304672","0.356811059386,0.591604631088,0.478700985982,1.05651260327,0.694604298269","0.506850482561,0.302315051238,0.694604298269","0.356811059386,0.212007142019,0.66907584888","0.325867897342,0.45033522976,0.732878779287","0.232027183378,0.66907584888,1.03747316269","0.276152518521,0.694604298269,1.05651260327","0.383822599827,0.407695848847,0.694892982797,1.01436854682","0.691292830024,0.478700985982,0.694604298269,1.01436854682","0.335124189921,0.578724830177,0.998749109667,0.694604298269,0.386550769677","0.409215381745,0.630367514364,1.06994964942,0.694604298269","0.386550769677,0.732878779287,1.01436854682",sph_dist
37,20110204,"0.421660936273,0.743168326191,1.41400477847,0.166599185187","0.288986631872,0.659907053364,0.438743740085,1.43253351065,0.200835175709,0.482267992485","0.420476497282,0.676040650224,1.4457704712","0.421660936273,1.48058003097,0.343211204387","0.687725154095,1.36593920966,0.160331154589,0.464934511487,0.18120839799","0.235163144204,0.389866651656,1.4457704712,0.200835175709","1.20664679131,0.118868683565,0.360882148087,0.444265427557,0.342308213289","0.389866651656,0.360882148087","0.421660936273,1.36593920966,0.297488761786,0.18120839799","0.438743740085,0.358143314715,0.43391527188,1.4457704712,0.157189237677,0.464934511487","0.616730202605,0.389368249617,0.438743740085,1.18007431789,1.43253351065,0.20997298549,0.482267992485","0.421660936273,1.3070685319,0.368881852481,0.335842380849,0.342308213289",sph_dist
38,20110205,"0.749160389082,0.374425118903,0.336264135647","0.317886437914,0.374425118903","0.672245078825,0.413995902135,0.374425118903","0.581195066803,0.413995902135","0.527950556203,0.427158520571,1.39949057131,0.375904062925,0.198927083866","0.264426279127,0.384330884618,0.891686520082","0.388805739406,0.64830038832,1.17552047162,0.374425118903,0.492509965371","0.738306347279,1.39949057131,0.338421307797","0.323179790239,1.345116428,0.336264135647,0.164517257708","0.427158520571,0.408431738643,1.39949057131,0.337221314877,0.186432758587,0.339893922226","0.64830038832,1.07984716935,0.42125669281,0.232127457706","0.706327155991,1.44319292382,0.401622072827,0.389187005441,0.907802824403",sph_dist
39,20110206,"0.501763509964,1.46098168576,0.354806411773","0.40242973686,0.23527947125,1.50768772016","0.467781420583,0.72957718753,0.40242973686","0.447582466545,1.50768772016","0.513026100266,1.47546436225,0.40242973686,0.28410204464","0.424123036199,1.49926971133,0.386691886772,0.28410204464","0.424123036199,1.0740744317,1.44511223734,0.28410204464,0.370920592698","0,0.40242973686,0.367812922628,1.25346166699","0.297488761786,0.534670677609,1.44511223734","0.497302981309,0.452913698341,1.49926971133,0.986459259525,1.23426171634,0.386691886772","1.02475109278,0.447582466545,1.46098168576,0.40242973686,0.386691886772,0.232987098312","0.297488761786,1.32211118825,0.420780597557",sph_dist
40,20110207,"0.663610918696,0.895757281745,0.269197475535,0.398393226444","0.215205897142,0.663610918696,0,0.930444139682","0.196386181578,0.663610918696,0.323161564837,0.930444139682,0.269197475535,0.788061086246","0.930444139682,0.663610918696","0.70115732056,0.663610918696,0.308817507305",0.937174252513,"0.274694297407,0.663610918696,0.654300375207,0.265427530211","0.688003889777,0.663610918696","0.85918598667,0.663610918696,0.265427530211","0.15909809503,0.663610918696,0.922557448267,0.269197475535","0.196386181578,0.930444139682,0.669636658674,0.269197475535","0.663610918696,0.765400915487",sph_dist
41,20110208,"0.668612549138,0.73323491921,0.377736050044,0.353755841496","0.668612549138,0.872664625997,0.564286764908,0.357805983882","0.78558119211,0.377736050044",0.872664625997,"0.569730450169,0.665169641355,0.358314883836","0.13157457948,0.820479476555,0.396111463137","0.524690118982,0.665169641355,0.358314883836","0.611807425871,0.665169641355","0.668612549138,0.671386521779,0.335068904641","0.668612549138,0.787818647614,0.358314883836","0.820479476555,0.357805983882,0.39986579846",0.668612549138,sph_dist
42,20110209,"0.693972879037,0.224303181354,0.353262944269","0.693972879037,0.212704632699,0.176158947163","0.233975261407,0.553744940362,0.360933219271","0.397983409416,0.194530799296,0.685902396738","0.205220546932,0.693972879037,0.395548842344","0.224051908283,0.196853702187","0.165369344417,0.685902396738,0.224303181354,0.558758460427,0.352224034913","0.685902396738,0.27213619057","0.737897306225,0.222298429019,0.60396060301,0.352224034913","0.65126600196,0.222298429019,0.353262944269","0.737897306225,0.331612557879,0.240568935329,0.353262944269","0.272138208565,0.685902396738,0.266283814755",sph_dist
43,20110210,"0.708029351247,0.109795268682","0.708029351247,0.0585892554339","0.141962756978,0.489181787786,0.703199039489,0.41020341624","0.141962756978,0.755214734745","0.109795268682,0.755214734745",0.141962756978,"0.703199039489,0.116077634834,0.349634606598,0.0870192560594","0.141962756978,0.210803143302,0.0837752298007,0.755214734745","0.141962756978,0.755214734745","0.616612422848,0.116077634834","0.17810157421,0.109795268682,0.703199039489","0.703199039489,0.253135055729,0.116077634834",sph_dist
44,20110211,"0.439691891812,0.725352784503,0.666439495256","0.422446911961,0.556596354623,0.673743772952","0.779462839935,0.541919387457,0.673743772952","0.485074655495,0.394778481339,0.45984014409,0.725352784503,0.281261178483","0.720585174743,0.699943610024,0.692036450953,0.125582913584",0.807184880425,"0.586397941496,0.178810126027,0.673743772952,0.328521011977","0.807184880425,0.220828755192,0.447923678409,0.312589215255","0.807184880425,0.673743772952,0.0998885140703,0.281261178483","0.587975149369,0.366906668137","0.673743772952,0.070786408177,0.679496792911,0.281261178483,0.142145992843","0.286295642047,0.616545323449,0.447923678409,0.305690249853,0.673743772952,0.281261178483",sph_dist
45,20110212,"0.776919910439,0.414550214601","0.725190684365,0.0533302448685,0.373682434254","0.158706036538,0.776919910439","0.0739995596977,0.770887065116,0.0448798146828,0.290020202892","0.159746712758,0.253649631721,0.770887065116,0.172368558697","0.158706036538,0.336694540284,0.21499923164,0.414550214601,0.329832728917","0.0448798146828,0.190415094616,0.350555890234,0.386041568342,0.415547527103","0.204500814692,0.681505964638,0.174349167391,0.35594982227,0.0764182195281,0.418189456472","0.725190684365,0.190729861401,0.418189456472","0.149778456699,0.639159973672,0.158035413328,0.414550214601","0.181474934896,0.725190684365,0.418189456472","0.725190684365,0.290020202892",sph_dist
46,20110213,0.38436290339,"0.332067006369,0.406253949459","0.37657018369,0.332067006369,0.431726158086,0.29898371165","0.38436290339,0.192810910253","0.38436290339,0.121964697946",nan,"0.38436290339,0.437846477556","0.0746656273501,0.430381751422,0.192810910253","0.332067006369,0.431726158086","0.297620416438,0.0611047888813,0.210161932317,0.437846477556,0.210422284876","0.132218510829,0.431726158086,0.331801247356","0.38436290339,0.254333957363",sph_dist
47,20110214,"0.806781461718,0.559702104751","0.755854652457,0.299245565065,0.522128081086","0.755854652457,0.559702104751","0.806781461718,0.0597902283105,0.441696885794","0.799776385656,0.18544827136,0.0510890293345,0.464284559618,0.559702104751",0.559702104751,"0.0544652276693,0.416776156754","0.270140178238,0.559789025386,0.0544652276693","0.755854652457,0.0510890293345,0.559702104751,0.436277785712","0.367473605045,0.267910309572,0.24250325868,0.671365136999,0.0705923079462","0.323535554673,0.559702104751,0.476201937938",0.806781461718,sph_dist
48,20110215,"0.218732172824,0.701379041605","0.290617994885,0.666635627125,0.224275296676","0.224275296676,0.666635627125,0.290617994885","0.666635627125,0.218732172824,0.290617994885,0.285934449768","0.224275296676,0.701379041605,0.314495297769,0.217093044528","0.218732172824,0.701379041605,0.290617994885","0.224275296676,0.666635627125,0.314495297769,0.2071361848","0.224275296676,0.614549669824,0.453199759734","0.224275296676,0.614549669824,0.817058879213,0.262102819183,0.325222828415,0.435292536343,0.365749173454","0.285934449768,0.276168654289,0.224275296676,0.666635627125","0.614549669824,0.224275296676","0.666635627125,0.218732172824",sph_dist
49,20110216,"0.251255729028,0.636301817386,0.12677921382","0.26595792102,0.688090316666","0.26595792102,0.688090316666","0.26595792102,0.636301817386","0.26595792102,0.688090316666,0.167473410998,0.952898413554","0.25931222883,0.688090316666","0.25931222883,0.722654771373","0.245658165205,0.636301817386","0.26595792102,0.688090316666,0.245132452599,0.300521865568,0.219835225258","0.275785189619,0.25931222883,0.722654771373","0.25931222883,0.688090316666","0.26595792102,0.688090316666",sph_dist
0,20100713,"0.00231374873055,0.00209994260078","0.00554763885564,0.00209994260078","0.00554763885564,0.00209994260078","0.00849667292303,0.000827336079997","0.000566083676721,0.00209994260078","0.00849667292303,0.00209994260078","0.00115672083447,0.00209994260078","0.00379997380181,0.00209994260078","0.043638543653,0.00554763885564,0.00971591303968,0.00209994260078","0.00554763885564,0.00209994260078","0.000566083676721,0.00209994260078","0.0662285894429,0.00554763885564,0.00209994260078",sph_area_diff
1,20100714,"0.0158298929368,0.0515259925473,0.0211521508504,0.0419058240076,0.168976119478,0.0193702264791","0.0360171770977,0.0266224357421,0.0193702264791","0.0571367867355,0.0193702264791,0.17652304259","0.036280014857,0.0411761511967,0.014380565484,0.0193702264791","0.0169237091285,0.0379786831392,0.0281377078178,0.0193702264791","0.0467115429323,0.187215099935,0.0193702264791","0.0530294819232,0.0346009666269,0.0111178041799,0.0311571779692,0.184321111923,0.2061533278,0.0193702264791","0.0367679721574,0.0716729720205,0.0193702264791","0.0404581775807,0.0205187628199","0.0715908555792,0.0285843781526,0.0193702264791,0.187835217166","0.0421275248051,0.0342927808465,0.0205233133856,0.0424678349722,0.171789713488,0.0193702264791","0.0204204452493,0.0608269921588,0.0193702264791",sph_area_diff
2,20100715,"0.180750420832,0.0067020894017,0.0649075434953,0.31868564581","0.159004603123,0.217185726791,0.00770434413706,0.0649075434953,0.31868564581","0.184957581651,0.00198998828302,0.31868564581,0.0649075434953","0.194457560479,0.00029554222804,0.0649075434953,0.308388932583","0.177474534901,0.035025781519,0.00770434413706,0.31868564581,0.0649075434953","0.00412852536442,0.314480899729,0.0649075434953","0.00029554222804,0.0649075434953,0.31868564581","0.172213381531,0.00029554222804,0.31868564581,0.0649075434953","0.154769587893,0.00652473051011,0.0649075434953,0.31868564581","0.0319383159751,0.000187418271296,0.0649075434953,0.314316483176","0.164691486653,0.00029554222804,0.0649075434953,0.31868564581,0.312779519487","0.00029554222804,0.217185726791,0.16841003939,0.0649075434953,0.31868564581",sph_area_diff
3,20100716,"0.154330203868,0.393166780803,0.071444360237","0.14979546164,0.181061053396,0.075788662329,0.390515626691","0.151788534785,0.390363616748,0.071444360237","0.156099624308,0.382224420192,0.075788662329","0.154330203868,0.390363616748,0.075788662329","0.159049002703,0.180872422076,0.075788662329,0.390363616748","0.180978936955,0.151543126694,0.390363616748,0.075788662329","0.154330203868,0.393166780803,0.075788662329","0.181061053396,0.154330203868,0.180151746849,0.389435267147,0.075788662329","0.155531917209,0.0578644582002,0.075788662329,0.390363616748","0.154330203868,0.390363616748,0.075788662329","0.181477908781,0.154330203868,0.390515626691,0.075788662329",sph_area_diff
4,20100718,"0.124495687376,0.532973126223","0.143264248652,0.116845851616,0.146143874761","0.12433407988,0.143403833008,0.139911170583,0.532973126223","0.124495687376,0.00576117555091,0.532973126223","0.116845851616,0.532973126223","0.127177062276,0.532973126223","0.0839523062378,0.127177062276,0.00154236255664,0.532973126223","0.127177062276,0.532973126223","0.105814179903,0.1403289742,0.121329796527,0.532973126223","0.12433407988,0.532973126223","0.118861074975,0.118648421628,0.532973126223","0.116972803124,0.12433407988,0.532973126223",sph_area_diff
5,20100719,"0.0259138942593,0.168478680481,0.00165697114415,0.549512828736","0.16559934348,0.00165697114415,0.549512828736","0.00161988468458,0.168618264837,0.549512828736","0.168478680481,0.00161988468458,0.549512828736","0.168478680481,0.00161988468458,0.549512828736","0.00561178580238,0.549512828736","0.0635395881053,0.0033675497384,0.549512828736","0.00561178580238,0.549512828736","0.0751125413038,0.00134731220872,0.549512828736","0.00134731220872,0.549512828736","0.168478680481,0.00161988468458,0.549512828736","0.0282651865694,0.00161988468458,0.549512828736",sph_area_diff
6,20100721,"0.0742240602415,0.093286567205,0.397021658632,0.13373749684","0.100484909707,0.0787588024686,0.387996017916,0.131968076399","0.0789912908226,0.389624349215,0.13373749684","0.0219234905129,0.0410381199133,0.0308465525462,0.042055533211,0.385697342707,0.138081798932","0.0977355823925,0.0742175870293,0.387996017916,0.138081798932","0.100484909707,0.0843845834022,0.388438174043,0.13373749684","0.0479372136203,0.0294625160928,0.388438174043,0.138081798932","0.0813004715511,0.397021658632,0.138081798932","0.0890713924002,0.0937331140956,0.0759870074697,0.394150317781,0.138081798932","0.045001939168,0.027230481382,0.382478318941,0.138081798932","0.100345325351,0.0785286765522,0.387996017916,0.13373749684","0.042291944985,0.0292300277389,0.392427513269,0.13373749684",sph_area_diff
7,20100722,"0.0466255276592,0.0686479912742,0.477674673811,0.0502416844842","0.0541969381143,0.468068015233,0.0502416844842","0.0661246311933,0.0572012214671,0.470510512181,0.0502416844842","0.0677204883698,0.0513228784323,0.461976048087,0.0502416844842","0.0687508747625,0.051229741221,0.466433285418,0.0514212981111","0.0599730164661,0.470144901175,0.0514212981111","0.00581523987109,0.464754518255,0.0502416844842","0.0716861492149,0.0587934028391,0.477674673811,0.0502416844842","0.049535295166,0.0514212981111,0.468156089929","0.0745654862157,0.0424566174247,0.465284749077,0.0502416844842","0.0745654862157,0.0529092865149,0.0530173244873,0.467007553588,0.0502416844842","0.00618471278654,0.0100922740623,0.474803332959,0.0514212981111",sph_area_diff
8,20100723,"0.00245735471108,0.0330854068379,0.0169504255024","0.0456331464684,0.0169504255024","0.060591663416,0.0435552034816,0.021026240524","0.0318992930346,0.0114760418494,0.021026240524","0.0327381672702,0.0631987741107,0.0380917237697,0.021026240524","0.0559643571283,0.344487435021","0.058100737921,0.021026240524","0.0575122927537,0.345827348764","0.0446639214812,0.021026240524","0.0601239153021,0.0336964645073,0.021026240524","0.0691722065036,0.0517362144019,0.0181300391294","0.0372910069728,0.0227517562219,0.0181300391294",sph_area_diff
9,20100725,"0.0263148546581,0.380049977219,0.00142382136095","0.0442103532291,0.380049977219,0.00142382136095","0.0548282090103,0.0336557174172,0.380049977219,0.00142382136095","0.0564863646046,0.0318207625303,0.382873480477,0.00142382136095","0.0542274404179,0.0354917140222,0.382873480477,0.0026034349879","0.0487298132819,0.378311903422,0.0028122937765","0.00692997628007,0.0177328951398,0.382873480477,0.00142382136095","0.0605039500735,0.046982148228,0.379938206025,0.0028122937765","0.0412060698762,0.0504925826252,0.0028122937765,0.382873480477","0.0422666052848,0.026537535463,0.377114702766,0.00142382136095","0.0506679207398,0.035984446736,0.0477321600737,0.00142382136095,0.382873480477","0.0111857880382,0.0269167152528,0.379938206025,0.00142382136095",sph_area_diff
10,20100726,"0.0883823573023,0.0804404933697,0.10406708951,0.396137549301,0.0118579546117","0.0832625267093,0.0794820727883,0.396137549301,0.0118579546117","0.0674591022971,0.087720269873,0.101192084237,0.10603048768,0.396137549301,0.0179716771441","0.10350586403,0.0865525210585,0.0943321793725,0.0772098953605,0.396137549301,0.0076218394743","0.0799757141958,0.0624738373749,0.0890711543455,0.104980658649,0.396137549301,0.0160947892606","0.0933759540991,0.0995826622389,0.42254710323,0.423862951615","0.0108524937678,0.00234941897384,0.396137549301,0.0118579546117","0.0582060432306,0.100975691673,0.102398143271,0.0822538677873,0.393202274849,0.0076218394743","0.0225525096446,0.101251113882,0.0775729465309,0.393202274849,0.0076218394743","0.067445496022,0.0767502482629,0.0599305089883,0.0118579546117,0.393202274849","0.0149796288419,0.0717486438809,0.0788290183828,0.393202274849,0.0076218394743","0.052755800273,0.0219042520492,0.0192344953364,0.00957461788485,0.393202274849,0.0179716771441",sph_area_diff
11,20100727,"0.0124507660859,0.0533102519375,0.408419343475","0.0461730732361,0.0123866137808,0.411298680475","0.0380848326122,0.00767175183366,0.411298680475","0.0208138284555,0.0328027192356,0.0168214857791,0.411298680475","0.00219370574496,0.0374977777217,0.406737103421","0.0357443500963,0.411298680475","0.107915601646,0.0257874058925,0.411298680475","0.00795198677608,0.404309959241","0.0263931474978,0.0152845536926,0.411298680475","0.0239162066379,0.00482788536808,0.408363406023","0.00346095353253,0.406737103421","0.00790266886955,0.408363406023",sph_area_diff
12,20100728,"0.183750490798,0.455902624102,0.451894506206","0.178072764657,0.446814167368,0.45296734965","0.178072764657,0.440886616775,0.455902624102","0.182947119265,0.436781042828,0.455902624102","0.0210081380803,0.455902624102,0.444186801531","0.0291928023482,0.441315460679,0.455902624102","0.183750490798,0.437440900785,0.455902624102","0.175874826344,0.446728470614,0.448599074284","0.165329029513,0.180175324266,0.455902624102,0.445137778147","0.179743294341,0.440886616775,0.455902624102","0.182319229948,0.441315460679,0.451583618601","0.0255380304033,0.447861316791,0.455902624102",sph_area_diff
13,20100730,"0.0568894084224,0.0117296221854,0.466621986847,0.483311201965,0.47265107773","0.0487675436003,0.0303687682171,0.0635611409707,0.0429432801535,0.460774528817,0.483311201965,0.478656613308","0.0163544186275,0.466621986847,0.479046728372,0.485949949467","0.0122483490325,0.132035019559,0.466621986847,0.479046728372,0.4830009154","0.115192087057,0.485949949467,0.479046728372,0.466621986847","0.0255762084167,0.00766857143676,0.0320907288454,0.480104714005,0.479046728372,0.466621986847","0.466621986847,0.483311201965,0.478764800262","0.133022079307,0.119961200901,0.483311201965,0.466621986847,0.48171383433","0.0769189358339,0.478764800262,0.466621986847,0.483311201965","0.485949949467,0.474677565737,0.466621986847","0.466621986847,0.483311201965,0.485949949467","0.466621986847,0.474677565737,0.485949949467",sph_area_diff
14,20100731,"0.0103755945113,0.119649182641,0.13696692872,0.53229479924,0.547879105759,0.546175686452","0.12502000144,0.0385749167607,0.103927146785,0.53229479924,0.546770387759,0.550411801589","0.105128860126,0.0675399628062,0.541762278071,0.53229479924","0.122498865366,0.53229479924,0.550722088155,0.546335986568","0.124010755715,0.0290240176574,0.104311215172,0.547879105759,0.53229479924,0.549124720519","0.112854055001,0.019349248457,0.108879780279,0.546335986568,0.547879105759,0.53229479924","0.126967823532,0.53229479924,0.550722088155,0.54209987143","0.130433951577,0.0447352552223,0.136626245642,0.115661159125,0.547879105759,0.53229479924,0.546228519124","0.0596855166553,0.118423050344,0.53229479924,0.550722088155,0.540405425375","0.112615602937,0.53229479924,0.540653560071,0.550464634262","0.0939902628386,0.53229479924,0.550722088155,0.550411801589","0.0451919744382,0.53229479924,0.546770387759,0.553360835657",sph_area_diff
15,20100802,"0.0971845684865,0.114288938312,0.116560878785,0.104866410239,0.129098709716,0.437979854301,0.444008945184,0.00873372947655","0.0919044890329,0.0743644665257,0.117326595946,0.11140989169,0.437979854301,0.0184400533363,0.448245060322","0.114612970373,0.0452873577504,0.0945556431452,0.0184400533363,0.433744599414","0.0621764507736,0.117283989994,0.0989311334045,0.436241780505,0.00403703035533,0.450014480762","0.112874896576,0.0575263675816,0.120616265064,0.0878185948095,0.436241780505,0.00873372947655,0.457307816922","0.119064669742,0.0694851404,0.0878489268019,0.454358782854,0.0110220611031,0.437979854301","0.117283989994,0.0747051562447,0.103723000024,0.437979854301,0.00403703035533,0.444008945184","0.103143605728,0.119064669742,0.112026136558,0.0923534968913,0.437979854301,0.0135854855721,0.444008945184","0.0688163725937,0.120238779523,0.0984672194237,0.437979854301,0.0051457483549,0.445778365625","0.106146196985,0.0719357171028,0.437979854301,0.0139710951705,0.454358782854","0.114371806417,0.0724747749512,0.0910520746039,0.437979854301,0.00698606442272,0.454358782854","0.117326595946,0.0667307938212,0.0924149409637,0.0184400533363,0.436241780505,0.45296351483",sph_area_diff
16,20100803,"0.0469850114477,0.0170264497767,0.0157291779907,0.42956042213,0.407178262223","0.037616643325,0.073236533658,0.404146568958","0.0460659420167,0.00827549971706,0.0170264497767,0.414793256677,0.403005305754","0.0126556376564,0.411101496408,0.42956042213","0.0470885532833,0.0237681762513,0.405670882455,0.42956042213","0.0452052229614,0.0106842259958,0.401477159846,0.429413951794,0.42956042213","0.0934018897347,0.00774954915933,0.411101496408,0.425324306992","0.0523973511074,0.0205859572091,0.408319525428,0.417549381493,0.0278510824026,0.425324306992","0.0104980540564,0.408319525428,0.425324306992","0.0566925183912,0.0132215496332,0.408319525428,0.416241857189","0.0491451683133,0.411101496408","0.032090144363,0.0522693024507,0.426667308662,0.400398195059",sph_area_diff
17,20100804,"0.0681651606078,0.484908094155,0.490604492468","0.085083176183,0.0888240862801,0.0530996601893,0.478020722562,0.490604492468","0.154059996795,0.174618740951,0.490604492468,0.493433543429","0.0781221048116,0.494527726652,0.482440238371,0.504169557255","0.063696202442,0.490604492468,0.489197428292,0.512369765076","0.0738859896741,0.494527726652,0.482440238371","0.491745755672,0.482440238371,0.497637276128","0.0729721471529,0.491745755672,0.48206511176","0.14171961235,0.490604492468,0.489197428292,0.503568700585","0.174618740951,0.162557368259,0.490604492468,0.489197428292","0.171151392814,0.490604492468,0.486301226897,0.499186381614","0.0469276845888,0.0840483548497,0.484908094155,0.490604492468",sph_area_diff
18,20100805,"0.102194235352,0.0432431749839,0.415731081741,0.442514906347","0.0236708491387,0.0699664243786,0.4351186695,0.418513052721","0.0554568666171,0.0745995428492,0.418513052721,0.442514906347","0.0666551864406,0.426135977794,0.439587627666,0.447989581953","0.104238289323,0.0539595369052,0.436866334554,0.421120163416","0.0689121371162,0.430882554363,0.426135977794","0.0699153182965,0.427005014692,0.4351186695","0.0649192263989,0.111989827854,0.426135977794,0.426578162556","0.0607708057837,0.446770050114,0.442514906347,0.418338192436,0.0294018928948","0.00700617137502,0.420251126517,0.442514906347","0.0161209958441,0.424397903997,0.442514906347,0.44502238506","0.0379021892167,0.118245347248,0.415731081741,0.433365899975,0.442514906347",sph_area_diff
19,20100806,"0.414883886507,0.430961785951,0.435868471235","0.0280731696062,0.000851296114879,0.420198106181,0.427907288117","0.169994484908,0.415022834355,0.435868471235,0.44362753726","0.401092551643,0.429630092629,0.422980077161","0.418187806079,0.425393977491","0.429630092629,0.422980077161,0.442439182578","0.416338957844,0.429630092629","0.422980077161,0.425393977491","0.191019695096,0.412276775812,0.0399489678333,0.434099050794,0.422231910597","0.203459662516,0.226950695406,0.419056842977,0.0485100514362,0.429862935657","0.416449732282,0.438297480865,0.435868471235,0.402994332309","0.186963094915,0.435868471235,0.416449732282",sph_area_diff
20,20100807,"0.0284948110006,0.226651542987,0.230410201487,0.0325624535662,0.224287418352","0.0166794543469,0.00525125539588,0.0156068239444,0.233165993477,0.228613680307,0.226950776718","0.138296487378,0.205520138923,0.228523533489,0.0147538087199,0.230410201487","0.0300905411326,0.219818460186,0.165908920716,0.239077023743","0.234904067273,0.231313090774,0.224287418352","0.00286103304841,0.215673146937,0.224287418352,0.234904067273","0.22326884717,0.237338949947,0.219818460186","0.219818460186,0.226651542987","0.226237245017,0.0254155233517,0.228523533489,0.223988493061","0.0330455753441,0.127272434155,0.0283140293839,0.226564620464,0.234904067273,0.224287418352","0.228672127691,0.228523533489,0.176201782561","0.0495696449871,0.0447383071214,0.230204372774,0.231419734884,0.228672127691",sph_area_diff
21,20100808,"4.45783374311e-05,0.153666913541,0.0317964784958,0.191510403661",0.143446102448,"0.195901321683,0.126360706626","0.00299962322796,0.100319796488,0.19097815677,0.18978759915","0.16371006881,0.191510403661","0.00174300492891,0.150908525917,0.18978759915","0.18978759915,0.161711591683","0.000417627338207,0.18978759915,0.135789397699","0.0349706798153,0.191510403661,0.118983484615","0.00287871980684,0.107079070765,0.0937621521312,0.0394223791849,0.18978759915,0.178402105818","0.191510403661,0.104141564485","0.00122419196439,0.191510403661,0.16548110336",sph_area_diff
