,Date,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,feature
10,20100726,"1.02668636833,1.47380900952,0.852827102966,0.597384076638,1.22377152365","0.98913271612,1.47380900952,0.597384076638,1.22377152365","1.41934524039,1.06418335759,1.10367580519,0.950599116642,0.597384076638,1.27452381803","0.950599116642,1.07249967798,0.930132965811,1.39569014895,0.597384076638,1.22377152365","1.04036449543,1.38837245173,1.08970422359,0.950599116642,0.597384076638,1.2760531409","1.47380900952,0.998022657442,0.597384076638,1.22377152365","0.859444849437,1.52075824903,0.597384076638,1.22377152365","0.885452689965,1.04609455327,0.950599116642,1.47380900952,0.562737226367,1.22377152365","0.957742503093,1.03470533923,1.47380900952,0.562737226367,1.22377152365","0.950599116642,1.40399246771,1.00683207836,1.22377152365,0.562737226367","0.8167520711,0.950599116642,1.41934524039,0.562737226367,1.22377152365","1.06890942671,0.950599116642,1.13373095895,1.46587561686,0.562737226367,1.27452381803",sph_dist
11,20100727,"1.44072670286,1.01071730802,0.609144967283","0.980035940238,1.45203392852,0.617818620812","1.34744614733,1.44072670286,0.617818620812","0.982713466016,1.25702323392,1.45203392852,0.617818620812","1.40762446257,1.34744614733,0.609144967283","1.5152744523,0.617818620812","0.0707813849483,1.49711332446,0.617818620812","1.42529101314,0.575245948197","0.864738146693,1.49711332446,0.617818620812","1.29499101738,1.42690844577,0.584451717262","1.42529101314,0.609144967283","1.45203392852,0.584451717262",sph_dist
12,20100728,"1.04747786363,0.516616407646,0.401132101552","1.00184709958,0.39444595681,0.482515068948","1.00184709958,0.39444595681,0.516616407646","1.01309351561,0.39444595681,0.516616407646","0.95095788854,0.516616407646,0.39444595681","1.06846775779,0.39444595681,0.516616407646","1.04747786363,0.343238051343,0.516616407646","1.01309351561,0.39444595681,0.469650619405","0.183709484877,1.01309351561,0.516616407646,0.39444595681","0.920738958184,0.39444595681,0.516616407646","0.971821752569,0.39444595681,0.503393862715","1.00184709958,0.401132101552,0.516616407646",sph_dist
13,20100730,"0.908428589494,0.642826813371,0.530647328685,0.436542212271,1.4050165404","0.340823853929,0.729443857486,0.890214670862,0.705035797904,0.507857962075,0.436542212271,1.42668682701","0.662579911251,0.530647328685,0.436542212271,1.45078196431","0.660911601291,0.321241632592,0.530647328685,0.436542212271,1.45078196431","0.265619721758,1.45078196431,0.436542212271,0.530647328685","0.349329907783,0.906377033003,0.775053534173,1.45078196431,0.436542212271,0.530647328685","0.530647328685,0.436542212271,1.4050165404","0.705035797904,0.890214670862,0.436542212271,0.530647328685,1.4050165404","0.369667279565,1.4050165404,0.530647328685,0.436542212271","1.45078196431,0.436542212271,0.530647328685","0.530647328685,0.436542212271,1.45078196431","0.530647328685,0.436542212271,1.45078196431",sph_dist
14,20100731,"0.463611684657,1.05730566857,0.597007469573,0.452746654971,0.473653244835,1.38124475253","0.567674616167,0.490447987711,1.00881959417,0.452746654971,0.473653244835,1.42668682701","1.00881959417,0.463611684657,0.473653244835,0.452746654971","1.05730566857,0.452746654971,0.473653244835,1.42668682701","0.496766091708,0.376369451721,0.936777801135,0.473653244835,0.452746654971,1.38124475253","0.0582621293267,0.463611684657,0.951124513413,1.42668682701,0.473653244835,0.452746654971","1.0893989596,0.452746654971,0.473653244835,1.38124475253","0.541196808938,0.490447987711,0.469426016803,1.03644949335,0.473653244835,0.452746654971,1.38124475253","0.156438024296,1.05730566857,0.452746654971,0.473653244835,1.38124475253","1.00881959417,0.452746654971,0.473653244835,1.42668682701","0.836444327443,0.452746654971,0.473653244835,1.42668682701","1.00605605405,0.452746654971,0.473653244835,1.42668682701",sph_dist
15,20100802,"0.925153846165,0.165419091947,0.440052399516,0.784380578065,0.969337083601,0.471554747503,1.3404920615,0.22147380898","0.927091689623,0.440052399516,0.132755634728,0.314453123416,0.471554747503,0.211029393607,1.38543952117","0.165419091947,0.414340812905,0.927091689623,0.211029393607,0.471554747503","0.440052399516,0.165419091947,0.979362298039,0.474073963293,0.22147380898,1.38543952117","0.132755634728,0.440052399516,0.401425727959,0.805158035193,0.474073963293,0.22147380898,1.4103425099","0.165419091947,0.475952272714,0.842773334735,1.4103425099,0.22147380898,0.471554747503","0.165419091947,0.475952272714,1.01421280656,0.471554747503,0.22147380898,1.36510532785","0.784380578065,0.165419091947,0.440052399516,0.927091689623,0.471554747503,0.211029393607,1.36510532785","0.414340812905,0.165419091947,0.92966881837,0.471554747503,0.22147380898,1.36510532785","1.01241119449,0.475952272714,0.471554747503,0.211029393607,1.4103425099","0.132755634728,0.440052399516,0.89025124358,0.471554747503,0.22147380898,1.4103425099","0.132755634728,0.440052399516,0.892248585998,0.211029393607,0.474073963293,1.38543952117",sph_dist
16,20100803,"1.00138568589,0.279770180551,0.506145483078,1.47432967143,0.541326399625","0.244346095279,0.973204289472,0.541326399625","0.96399286883,0.507310464797,0.279770180551,0.663266211179,0.541326399625","0.507310464797,0.541326399625,1.47432967143","0.986592509254,0.333366091745,0.543516064142,1.47432967143","0.973204289472,0.45508255159,0.541326399625,0.712121662607,1.47432967143","0.973204289472,0.542142102063,0.541326399625,1.42822368762","0.994604620982,0.45508255159,0.541326399625,0.65560351474,0.250984785744,1.42822368762","0.45508255159,0.541326399625,1.42822368762","1.00138568589,0.418879020479,0.541326399625,0.663266211179","1.00138568589,0.541326399625","0.42028077174,0.986592509254,0.748411272009,0.543516064142",sph_dist
17,20100804,"1.17438292261,1.38124475253,0.488692190558","0.519086508646,0.691394144206,1.14743524049,1.38124475253,0.488692190558","1.10011910992,0.506145483078,0.488692190558,1.42668682701","1.19281652837,0.488692190558,1.4050165404,0.604174203809","1.14743524049,0.488692190558,1.4050165404,0.576499958545","1.19281652837,0.488692190558,1.4050165404","0.488692190558,1.4050165404,0.662067585012","1.1522927217,0.488692190558,1.38124475253","0.944203490413,0.488692190558,1.4050165404,0.6241741501","0.506307414282,1.16458235638,0.488692190558,1.4050165404","1.10011910992,0.488692190558,1.4050165404,0.576499958545","0.891910104287,0.698259055959,1.38124475253,0.488692190558",sph_dist
18,20100805,"0.209980227942,0.524578208013,0.50731959772,1.31709649944","0.180050556001,0.492467697776,1.31709649944,0.50731959772","0.614292189264,0.177065608204,0.50731959772,1.31709649944","0.741956991086,0.506145483078,1.31709649944,0.530605104392","0.209980227942,0.621299571724,1.31709649944,0.50731959772","0.713450269574,1.27280375751,0.506145483078","0.735962608997,0.50731959772,1.31709649944","0.747723021474,0.159719450472,0.506145483078,1.27280375751","0.747723021474,0.547932462646,1.31709649944,0.50731959772,0.608519039164","0.123054179067,0.506145483078,1.31709649944","0.263571211414,0.50731959772,1.31709649944,0.530605104392","0.636671517226,0.593904366936,0.50731959772,0.594171115716,1.31709649944",sph_dist
19,20100806,"0.488692190558,0.552967314459,1.27651773314","0.0889903322903,0.281445674671,0.488692190558,1.2491690543","0.586631281897,0.488692190558,1.27651773314,0.505834589597","0.505834589597,1.27651773314,0.488692190558","0.489908874393,1.23305296394","1.27651773314,0.488692190558,0.505834589597","0.488692190558,1.27651773314","0.488692190558,1.23305296394","0.203299872069,0.488692190558,0.612443594392,1.27651773314,0.505834589597","0.394793837285,0.722570795878,0.488692190558,0.638331307114,1.23305296394","0.488692190558,0.590454135546,1.27651773314,0.505834589597","0.959125051346,1.27651773314,0.488692190558",sph_dist
