cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.635370831787096,0.962558794932161,0.366546414726111,0.560399215565262,0.965390078322694,0.440961105262297
20100727,0.859770642201835,0.96252319109462,0.145150900769565,0.834964169657961,0.96620835871672,0.168459788428289
20100730,0.872909535452323,0.97340357306459,0.129843583224875,0.790824717404032,0.979431685078006,0.210184096515016
20100731,0.83761628035442,0.978844832502115,0.163755957197892,0.750476357500219,0.986708458799073,0.249877396404426
20100719,0.618459591817607,0.961135768486489,0.383514682335792,0.726342899836214,0.957156311846133,0.276990595661077
20100715,0.630788864614653,0.953129328681639,0.372174317118163,0.684552099259962,0.943262444975813,0.320509794283138
20100721,0.790336949117015,0.949908158925776,0.215563882521554,0.803147407047371,0.951814361573746,0.202664252157895
20110123,0.824778065833923,0.963248191045997,0.179034694051998,0.770411996192395,0.966597514116618,0.23200512398555
20110211,0.845417119941981,0.953503925696711,0.161424136152711,0.828036240245136,0.947958375970498,0.179665982591744
20110120,0.608867915411748,0.974313965227714,0.391974590983491,0.682441597874641,0.973278604018259,0.318680673658797
20110209,0.720854017995656,0.942860445403406,0.284934041435323,0.878861992506233,0.938592626531955,0.135813410147172
20110210,0.806277841085673,0.948083532841871,0.200558207053735,0.835652754686253,0.942043435633026,0.174266980221269
20110122,0.770608200366715,0.968600613656256,0.231530816959127,0.819793789383217,0.971920283783225,0.18238077971013
20110129,0.750655973067974,0.922989735011563,0.260965562249635,0.788736739816693,0.91120711156386,0.229164443446431
20110207,0.756787562830502,0.972306899452069,0.24478398111781,0.845451074646783,0.973602106628003,0.156787177735661
