cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.631041368463836,0.981471884547236,0.369423554808393,0.549175885355833,0.989984657738328,0.450935349496261
20100727,0.849334862385321,0.976349721706865,0.152510063129594,0.804346098347643,0.98497829065138,0.196229714833266
20100730,0.872151589242054,0.977874484654146,0.129748813338127,0.78871100102656,0.985368375169437,0.211795008280131
20100731,0.817928718209338,0.986393572119677,0.182578987105738,0.697089731774993,0.995250326212079,0.30294750369864
20100719,0.579797080394592,0.980223809941669,0.420668029850299,0.615495371716388,0.984245582051767,0.384827248069061
20100715,0.582834029114663,0.990824955744733,0.417266855503515,0.539130820865949,0.995010480562223,0.46089618742176
20100721,0.71147094272389,0.974836450500828,0.289624275771279,0.619163580151219,0.985158770372011,0.381125492167747
20110123,0.824306701233404,0.963294213904017,0.179486628929323,0.769646607122706,0.96663089764619,0.232757776673477
20110211,0.841023015720654,0.983651957667472,0.159815330987554,0.817585545895277,0.987798041770318,0.182822101647921
20110120,0.607160688688818,0.980361319256662,0.393329889905131,0.679783914846652,0.98006610624058,0.320835941426998
20110209,0.718507601613404,0.95434229791169,0.285171169842646,0.872685696696738,0.952677804762023,0.135824600083108
20110210,0.799046928416036,0.97338990684334,0.202707261924273,0.819107001390926,0.975168397457339,0.182589390246583
20110122,0.768599071509382,0.969668260121,0.233380385102106,0.816481208356996,0.973382464487736,0.185439046812841
20110129,0.716520619832665,0.974643741830513,0.284611136128603,0.692087025791499,0.979265308075941,0.308610315989453
20110207,0.755853280266084,0.974339152968403,0.24549154736408,0.844002030511936,0.976108112256714,0.157816947075834
