20100808


Iter     Func-count       f(x)      MeshSize     Method
    9          20      0.0566306         0.125     Successful Poll
   10          23      0.0566306        0.0625     Refine Mesh
   11          26      0.0566306       0.03125     Refine Mesh
   12          29      0.0566306       0.01563     Refine Mesh
   13          32      0.0566306      0.007813     Refine Mesh
   14          35      0.0566306      0.003906     Refine Mesh
   15          38      0.0566306      0.001953     Refine Mesh
   16          41      0.0566306     0.0009766     Refine Mesh
   17          43      0.0566301      0.001953     Successful Poll
   18          46      0.0566301     0.0009766     Refine Mesh
   19          49      0.0566301     0.0004883     Refine Mesh
   20          52      0.0566301     0.0002441     Refine Mesh
   21          55      0.0566301     0.0001221     Refine Mesh
   22          58      0.0566301     6.104e-05     Refine Mesh
   23          61      0.0566301     3.052e-05     Refine Mesh
   24          64      0.0566301     1.526e-05     Refine Mesh
   25          67      0.0566301     7.629e-06     Refine Mesh
   26          70      0.0566301     3.815e-06     Refine Mesh
   27          73      0.0566301     1.907e-06     Refine Mesh
   28          76      0.0566301     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 44180.278524 seconds.
20100722


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0941721             1      
    1           2      0.0941721           0.5     Refine Mesh
    2           6      0.0941721          0.25     Refine Mesh
    3           7      0.0938343           0.5     Successful Poll
    4          11      0.0938343          0.25     Refine Mesh
    5          15      0.0912233           0.5     Successful Poll
    6          18      0.0892855             1     Successful Poll
    7          20      0.0892855           0.5     Refine Mesh
    8          23      0.0892855          0.25     Refine Mesh
    9          24      0.0888805           0.5     Successful Poll
   10          28      0.0888805          0.25     Refine Mesh
   11          32      0.0888805         0.125     Refine Mesh
   12          36      0.0888805        0.0625     Refine Mesh
   13          38      0.0882152         0.125     Successful Poll
   14          39      0.0881986          0.25     Successful Poll
   15          40      0.0865669           0.5     Successful Poll
   16          44      0.0865669          0.25     Refine Mesh
   17          48      0.0865669         0.125     Refine Mesh
   18          52      0.0865669        0.0625     Refine Mesh
   19          56      0.0865669       0.03125     Refine Mesh
   20          60      0.0865669       0.01563     Refine Mesh
   21          64      0.0865669      0.007813     Refine Mesh
   22          68      0.0865669      0.003906     Refine Mesh
   23          72      0.0865669      0.001953     Refine Mesh
   24          76      0.0865669     0.0009766     Refine Mesh
   25          80      0.0858187      0.001953     Successful Poll
   26          84      0.0858187     0.0009766     Refine Mesh
   27          88      0.0858187     0.0004883     Refine Mesh
   28          92      0.0858187     0.0002441     Refine Mesh
   29          96      0.0858187     0.0001221     Refine Mesh
   30         100      0.0858187     6.104e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         104      0.0858187     3.052e-05     Refine Mesh
   32         108      0.0858187     1.526e-05     Refine Mesh
   33         112      0.0858187     7.629e-06     Refine Mesh
   34         116      0.0858187     3.815e-06     Refine Mesh
   35         120      0.0858187     1.907e-06     Refine Mesh
   36         124      0.0858187     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 47305.073972 seconds.
20110121


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.102811             1      
    1           2       0.102811           0.5     Refine Mesh
    2           5       0.101707             1     Successful Poll
    3           6       0.101707           0.5     Refine Mesh
    4           9       0.101707          0.25     Refine Mesh
    5          12      0.0952915           0.5     Successful Poll
    6          15      0.0952915          0.25     Refine Mesh
    7          18      0.0952915         0.125     Refine Mesh
    8          19      0.0947543          0.25     Successful Poll
    9          22      0.0947543         0.125     Refine Mesh
   10          26      0.0947543        0.0625     Refine Mesh
   11          28      0.0941463         0.125     Successful Poll
   12          32      0.0941463        0.0625     Refine Mesh
   13          35      0.0940312         0.125     Successful Poll
   14          39      0.0940312        0.0625     Refine Mesh
   15          43      0.0940312       0.03125     Refine Mesh
   16          46      0.0937562        0.0625     Successful Poll
   17          50      0.0937562       0.03125     Refine Mesh
   18          54      0.0931142        0.0625     Successful Poll
   19          57      0.0929724         0.125     Successful Poll
   20          60      0.0929724        0.0625     Refine Mesh
   21          64      0.0929724       0.03125     Refine Mesh
   22          68      0.0929724       0.01563     Refine Mesh
   23          72      0.0929724      0.007813     Refine Mesh
   24          74      0.0926584       0.01563     Successful Poll
   25          78      0.0926584      0.007813     Refine Mesh
   26          82      0.0926584      0.003906     Refine Mesh
   27          86      0.0926584      0.001953     Refine Mesh
   28          90      0.0926584     0.0009766     Refine Mesh
   29          94      0.0926584     0.0004883     Refine Mesh
   30          98      0.0926584     0.0002441     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         102      0.0926584     0.0001221     Refine Mesh
   32         106      0.0926584     6.104e-05     Refine Mesh
   33         110      0.0926584     3.052e-05     Refine Mesh
   34         114      0.0926584     1.526e-05     Refine Mesh
   35         118      0.0926584     7.629e-06     Refine Mesh
   36         122      0.0926584     3.815e-06     Refine Mesh
   37         126      0.0926584     1.907e-06     Refine Mesh
   38         130      0.0926584     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 50592.134930 seconds.
20110208


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0734645             1      
    1           2      0.0734645           0.5     Refine Mesh
    2           5      0.0711889             1     Successful Poll
    3           6      0.0711889           0.5     Refine Mesh
    4           9      0.0711889          0.25     Refine Mesh
    5          12      0.0711889         0.125     Refine Mesh
    6          15      0.0711889        0.0625     Refine Mesh
    7          18      0.0711646         0.125     Successful Poll
    8          21      0.0711646        0.0625     Refine Mesh
    9          24      0.0711646       0.03125     Refine Mesh
   10          28      0.0711646       0.01563     Refine Mesh
   11          32      0.0711646      0.007813     Refine Mesh
   12          36      0.0711646      0.003906     Refine Mesh
   13          40      0.0711646      0.001953     Refine Mesh
   14          44      0.0711646     0.0009766     Refine Mesh
   15          48      0.0711646     0.0004883     Refine Mesh
   16          52      0.0711475     0.0009766     Successful Poll
   17          56      0.0711475     0.0004883     Refine Mesh
   18          60      0.0711475     0.0002441     Refine Mesh
   19          64      0.0711475     0.0001221     Refine Mesh
   20          68      0.0711475     6.104e-05     Refine Mesh
   21          69      0.0710933     0.0001221     Successful Poll
   22          73      0.0710933     6.104e-05     Refine Mesh
   23          77      0.0710933     3.052e-05     Refine Mesh
   24          81      0.0710933     1.526e-05     Refine Mesh
   25          85      0.0710933     7.629e-06     Refine Mesh
   26          89      0.0710933     3.815e-06     Refine Mesh
   27          93      0.0710933     1.907e-06     Refine Mesh
   28          97      0.0710933     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 53068.992866 seconds.
20110212


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.170832             1      
    1           2       0.168762             2     Successful Poll
    2           4       0.168762             1     Refine Mesh
    3           6       0.110633             2     Successful Poll
    4           8       0.110633             1     Refine Mesh
    5          10       0.110633           0.5     Refine Mesh
    6          13       0.109349             1     Successful Poll
    7          15       0.109349           0.5     Refine Mesh
    8          19       0.109349          0.25     Refine Mesh
    9          23       0.109349         0.125     Refine Mesh
   10          27       0.109349        0.0625     Refine Mesh
   11          31       0.109349       0.03125     Refine Mesh
   12          35       0.108932        0.0625     Successful Poll
   13          39       0.108932       0.03125     Refine Mesh
   14          42       0.108538        0.0625     Successful Poll
   15          45       0.106916         0.125     Successful Poll
   16          49       0.106916        0.0625     Refine Mesh
   17          53       0.106916       0.03125     Refine Mesh
   18          57       0.106916       0.01563     Refine Mesh
   19          61       0.106916      0.007813     Refine Mesh
   20          65       0.106916      0.003906     Refine Mesh
   21          69       0.106916      0.001953     Refine Mesh
   22          73       0.106916     0.0009766     Refine Mesh
   23          77       0.106916     0.0004883     Refine Mesh
   24          79       0.106901     0.0009766     Successful Poll
   25          83       0.106901     0.0004883     Refine Mesh
   26          87       0.106901     0.0002441     Refine Mesh
   27          91       0.106901     0.0001221     Refine Mesh
   28          95       0.106901     6.104e-05     Refine Mesh
   29          97       0.106555     0.0001221     Successful Poll
   30         101       0.106555     6.104e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         105       0.106555     3.052e-05     Refine Mesh
   32         109       0.106555     1.526e-05     Refine Mesh
   33         113       0.106555     7.629e-06     Refine Mesh
   34         117       0.106555     3.815e-06     Refine Mesh
   35         121       0.106555     1.907e-06     Refine Mesh
   36         125       0.106555     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 56222.814849 seconds.
20110216


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.142145             1      
    1           2       0.142145           0.5     Refine Mesh
    2           3        0.14078             1     Successful Poll
    3           4        0.14078           0.5     Refine Mesh
    4           8        0.14078          0.25     Refine Mesh
    5           9        0.13906           0.5     Successful Poll
    6          11       0.138545             1     Successful Poll
    7          11       0.138545           0.5     Refine Mesh
    8          15       0.138545          0.25     Refine Mesh
    9          19       0.102584           0.5     Successful Poll
   10          20       0.100361             1     Successful Poll
   11          22       0.100361           0.5     Refine Mesh
   12          25       0.100361          0.25     Refine Mesh
   13          26       0.100289           0.5     Successful Poll
   14          29       0.100289          0.25     Refine Mesh
   15          32       0.100289         0.125     Refine Mesh
   16          35       0.100289        0.0625     Refine Mesh
   17          38       0.100289       0.03125     Refine Mesh
   18          41       0.100289       0.01563     Refine Mesh
   19          42       0.100025       0.03125     Successful Poll
   20          45       0.100025       0.01563     Refine Mesh
   21          48       0.100025      0.007813     Refine Mesh
   22          51       0.100025      0.003906     Refine Mesh
   23          54       0.100025      0.001953     Refine Mesh
   24          57       0.100025     0.0009766     Refine Mesh
   25          58      0.0996626      0.001953     Successful Poll
   26          61      0.0996626     0.0009766     Refine Mesh
   27          64       0.099634      0.001953     Successful Poll
   28          67       0.099634     0.0009766     Refine Mesh
   29          71       0.099634     0.0004883     Refine Mesh
   30          72      0.0995487     0.0009766     Successful Poll

Iter     Func-count        f(x)       MeshSize      Method
   31          74      0.0994434      0.001953     Successful Poll
   32          77      0.0994434     0.0009766     Refine Mesh
   33          81      0.0994434     0.0004883     Refine Mesh
   34          84      0.0992741     0.0009766     Successful Poll
   35          87      0.0992741     0.0004883     Refine Mesh
   36          91      0.0992741     0.0002441     Refine Mesh
   37          95      0.0992741     0.0001221     Refine Mesh
   38          99      0.0992741     6.104e-05     Refine Mesh
   39         103      0.0992741     3.052e-05     Refine Mesh
   40         107      0.0992741     1.526e-05     Refine Mesh
   41         111      0.0992741     7.629e-06     Refine Mesh
   42         115      0.0992741     3.815e-06     Refine Mesh
   43         119      0.0992741     1.907e-06     Refine Mesh
   44         123      0.0992741     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 59324.807353 seconds.
20110201


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0817188             1      
    1           2      0.0817188           0.5     Refine Mesh
    2           6      0.0817188          0.25     Refine Mesh
    3          10      0.0782938           0.5     Successful Poll
    4          13      0.0776421             1     Successful Poll
    5          15      0.0776421           0.5     Refine Mesh
    6          18      0.0776421          0.25     Refine Mesh
    7          21      0.0776421         0.125     Refine Mesh
    8          22      0.0776392          0.25     Successful Poll
    9          25      0.0776392         0.125     Refine Mesh
   10          29      0.0776392        0.0625     Refine Mesh
   11          31      0.0773367         0.125     Successful Poll
   12          35      0.0773367        0.0625     Refine Mesh
   13          39      0.0773367       0.03125     Refine Mesh
   14          42      0.0771465        0.0625     Successful Poll
   15          46      0.0771465       0.03125     Refine Mesh
   16          50      0.0771125        0.0625     Successful Poll
   17          51      0.0770704         0.125     Successful Poll
   18          55      0.0770704        0.0625     Refine Mesh
   19          56      0.0769603         0.125     Successful Poll
   20          60      0.0769603        0.0625     Refine Mesh
   21          64      0.0769603       0.03125     Refine Mesh
   22          68      0.0769603       0.01563     Refine Mesh
   23          72      0.0769603      0.007813     Refine Mesh
   24          76      0.0769603      0.003906     Refine Mesh
   25          80      0.0769603      0.001953     Refine Mesh
   26          84      0.0769603     0.0009766     Refine Mesh
   27          88      0.0769603     0.0004883     Refine Mesh
   28          92      0.0769603     0.0002441     Refine Mesh
   29          96      0.0769603     0.0001221     Refine Mesh
   30         100      0.0769603     6.104e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         104      0.0769603     3.052e-05     Refine Mesh
   32         108      0.0769603     1.526e-05     Refine Mesh
   33         112      0.0769603     7.629e-06     Refine Mesh
   34         116      0.0769603     3.815e-06     Refine Mesh
   35         120      0.0769603     1.907e-06     Refine Mesh
   36         124      0.0769603     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 62451.762733 seconds.
20110126


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0708976             1      
    1           2      0.0708976           0.5     Refine Mesh
    2           3      0.0705307             1     Successful Poll
    3           4      0.0690226             2     Successful Poll
    4           4      0.0690226             1     Refine Mesh
    5           5      0.0690226           0.5     Refine Mesh
    6           8      0.0690226          0.25     Refine Mesh
    7          11      0.0690226         0.125     Refine Mesh
    8          14      0.0682709          0.25     Successful Poll
    9          17      0.0682709         0.125     Refine Mesh
   10          20      0.0682709        0.0625     Refine Mesh
   11          24      0.0682709       0.03125     Refine Mesh
   12          28      0.0682709       0.01563     Refine Mesh
   13          32      0.0682709      0.007813     Refine Mesh
   14          36      0.0682709      0.003906     Refine Mesh
   15          40      0.0682709      0.001953     Refine Mesh
   16          44      0.0682709     0.0009766     Refine Mesh
   17          48      0.0682709     0.0004883     Refine Mesh
   18          52      0.0682709     0.0002441     Refine Mesh
   19          56      0.0682709     0.0001221     Refine Mesh
   20          60      0.0682709     6.104e-05     Refine Mesh
   21          64      0.0682709     3.052e-05     Refine Mesh
   22          68      0.0682709     1.526e-05     Refine Mesh
   23          72      0.0682709     7.629e-06     Refine Mesh
   24          76      0.0682709     3.815e-06     Refine Mesh
   25          80      0.0682709     1.907e-06     Refine Mesh
   26          84      0.0682709     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 64588.999553 seconds.
20110213


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.130607             1      
    1           2       0.130067             2     Successful Poll
    2           4       0.130067             1     Refine Mesh
    3           6       0.110227             2     Successful Poll
    4           8       0.110227             1     Refine Mesh
    5          10       0.110227           0.5     Refine Mesh
    6          13       0.106457             1     Successful Poll
    7          15       0.106457           0.5     Refine Mesh
    8          18       0.106422             1     Successful Poll
    9          20       0.106422           0.5     Refine Mesh
   10          23       0.106422          0.25     Refine Mesh
   11          26       0.106422         0.125     Refine Mesh
   12          27       0.106392          0.25     Successful Poll
   13          30       0.106392         0.125     Refine Mesh
   14          34       0.106392        0.0625     Refine Mesh
   15          37       0.106156         0.125     Successful Poll
   16          41       0.106156        0.0625     Refine Mesh
   17          45       0.105508         0.125     Successful Poll
   18          46        0.10475          0.25     Successful Poll
   19          50        0.10475         0.125     Refine Mesh
   20          54        0.10475        0.0625     Refine Mesh
   21          58        0.10475       0.03125     Refine Mesh
   22          62        0.10475       0.01563     Refine Mesh
   23          66        0.10475      0.007813     Refine Mesh
   24          70        0.10475      0.003906     Refine Mesh
   25          71       0.104697      0.007813     Successful Poll
   26          72       0.104612       0.01563     Successful Poll
   27          74       0.104398       0.03125     Successful Poll
   28          78       0.104398       0.01563     Refine Mesh
   29          81       0.104177       0.03125     Successful Poll
   30          85       0.104177       0.01563     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31          89       0.104177      0.007813     Refine Mesh
   32          92        0.10389       0.01563     Successful Poll
   33          96        0.10389      0.007813     Refine Mesh
   34         100        0.10389      0.003906     Refine Mesh
   35         104        0.10389      0.001953     Refine Mesh
   36         108        0.10389     0.0009766     Refine Mesh
   37         112        0.10389     0.0004883     Refine Mesh
   38         114       0.103398     0.0009766     Successful Poll
   39         118       0.103398     0.0004883     Refine Mesh
   40         119       0.103279     0.0009766     Successful Poll
   41         123       0.103279     0.0004883     Refine Mesh
   42         127       0.103279     0.0002441     Refine Mesh
   43         131       0.103279     0.0001221     Refine Mesh
   44         135       0.103279     6.104e-05     Refine Mesh
   45         139       0.103279     3.052e-05     Refine Mesh
   46         143       0.103279     1.526e-05     Refine Mesh
   47         147       0.103279     7.629e-06     Refine Mesh
   48         151       0.103279     3.815e-06     Refine Mesh
   49         155       0.103279     1.907e-06     Refine Mesh
   50         159       0.103279     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 68610.847278 seconds.
20110214


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.086963             1      
    1           2      0.0848873             2     Successful Poll
    2           4      0.0848873             1     Refine Mesh
    3           6      0.0673694             2     Successful Poll
    4           8      0.0673694             1     Refine Mesh
    5          10      0.0673694           0.5     Refine Mesh
    6          13      0.0645088             1     Successful Poll
    7          15      0.0645088           0.5     Refine Mesh
    8          19      0.0645088          0.25     Refine Mesh
    9          23      0.0645088         0.125     Refine Mesh
   10          24      0.0642272          0.25     Successful Poll
   11          28      0.0642272         0.125     Refine Mesh
   12          32      0.0642272        0.0625     Refine Mesh
   13          36      0.0642272       0.03125     Refine Mesh
   14          40      0.0642272       0.01563     Refine Mesh
   15          44      0.0642272      0.007813     Refine Mesh
   16          45      0.0641081       0.01563     Successful Poll
   17          48      0.0637235       0.03125     Successful Poll
   18          52      0.0637235       0.01563     Refine Mesh
   19          56      0.0637235      0.007813     Refine Mesh
   20          60      0.0637235      0.003906     Refine Mesh
   21          62      0.0635822      0.007813     Successful Poll
   22          66      0.0635822      0.003906     Refine Mesh
   23          70      0.0635822      0.001953     Refine Mesh
   24          74      0.0635822     0.0009766     Refine Mesh
   25          78      0.0635822     0.0004883     Refine Mesh
   26          82      0.0635822     0.0002441     Refine Mesh
   27          86      0.0635822     0.0001221     Refine Mesh
   28          90      0.0635822     6.104e-05     Refine Mesh
   29          94      0.0635822     3.052e-05     Refine Mesh
   30          98      0.0635822     1.526e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         102      0.0635822     7.629e-06     Refine Mesh
   32         106      0.0635822     3.815e-06     Refine Mesh
   33         110      0.0635822     1.907e-06     Refine Mesh
   34         114      0.0635822     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 71490.083850 seconds.
20110206


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0723214             1      
    1           2      0.0723214           0.5     Refine Mesh
    2           5      0.0717672             1     Successful Poll
    3           6      0.0717672           0.5     Refine Mesh
    4           9      0.0717672          0.25     Refine Mesh
    5          12      0.0717672         0.125     Refine Mesh
    6          15      0.0717672        0.0625     Refine Mesh
    7          17      0.0707125         0.125     Successful Poll
    8          20      0.0707125        0.0625     Refine Mesh
    9          24      0.0707125       0.03125     Refine Mesh
   10          28      0.0707125       0.01563     Refine Mesh
   11          32      0.0707125      0.007813     Refine Mesh
   12          36      0.0707125      0.003906     Refine Mesh
   13          40      0.0707125      0.001953     Refine Mesh
   14          44      0.0707125     0.0009766     Refine Mesh
   15          48      0.0707125     0.0004883     Refine Mesh
   16          52      0.0707125     0.0002441     Refine Mesh
   17          56      0.0707125     0.0001221     Refine Mesh
   18          60      0.0707125     6.104e-05     Refine Mesh
   19          64      0.0707125     3.052e-05     Refine Mesh
   20          68      0.0707125     1.526e-05     Refine Mesh
   21          72      0.0707125     7.629e-06     Refine Mesh
   22          74      0.0706832     1.526e-05     Successful Poll
   23          76      0.0705202     3.052e-05     Successful Poll
   24          80      0.0705202     1.526e-05     Refine Mesh
   25          84      0.0705202     7.629e-06     Refine Mesh
   26          88      0.0705202     3.815e-06     Refine Mesh
   27          92      0.0705202     1.907e-06     Refine Mesh
   28          96      0.0705202     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 73927.881975 seconds.
20110205


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0736202             1      
    1           2      0.0736202           0.5     Refine Mesh
    2           5      0.0732588             1     Successful Poll
    3           6      0.0732588           0.5     Refine Mesh
    4           9      0.0732588          0.25     Refine Mesh
    5          12      0.0719901           0.5     Successful Poll
    6          13       0.071762             1     Successful Poll
    7          15       0.071762           0.5     Refine Mesh
    8          19       0.071762          0.25     Refine Mesh
    9          20      0.0715961           0.5     Successful Poll
   10          23       0.071224             1     Successful Poll
   11          25       0.071224           0.5     Refine Mesh
   12          28       0.071224          0.25     Refine Mesh
   13          32       0.071224         0.125     Refine Mesh
   14          34      0.0710455          0.25     Successful Poll
   15          37      0.0709344           0.5     Successful Poll
   16          40      0.0709344          0.25     Refine Mesh
   17          43      0.0709344         0.125     Refine Mesh
   18          46      0.0709344        0.0625     Refine Mesh
   19          47      0.0709321         0.125     Successful Poll
   20          51      0.0709321        0.0625     Refine Mesh
   21          55      0.0706881         0.125     Successful Poll
   22          56      0.0700067          0.25     Successful Poll
   23          60      0.0700067         0.125     Refine Mesh
   24          61      0.0699643          0.25     Successful Poll
   25          65      0.0699643         0.125     Refine Mesh
   26          69      0.0699643        0.0625     Refine Mesh
   27          73      0.0699643       0.03125     Refine Mesh
   28          77      0.0699643       0.01563     Refine Mesh
   29          81      0.0699643      0.007813     Refine Mesh
   30          85      0.0699643      0.003906     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31          88      0.0694644      0.007813     Successful Poll
   32          90      0.0691026       0.01563     Successful Poll
   33          94      0.0691026      0.007813     Refine Mesh
   34          98      0.0691026      0.003906     Refine Mesh
   35         102      0.0691026      0.001953     Refine Mesh
   36         106      0.0691026     0.0009766     Refine Mesh
   37         110      0.0691026     0.0004883     Refine Mesh
   38         114      0.0691026     0.0002441     Refine Mesh
   39         118      0.0691026     0.0001221     Refine Mesh
   40         122      0.0691026     6.104e-05     Refine Mesh
   41         126      0.0691026     3.052e-05     Refine Mesh
   42         130      0.0691026     1.526e-05     Refine Mesh
   43         134      0.0691026     7.629e-06     Refine Mesh
   44         138      0.0691026     3.815e-06     Refine Mesh
   45         140      0.0689342     7.629e-06     Successful Poll
   46         144      0.0689342     3.815e-06     Refine Mesh
   47         148      0.0689342     1.907e-06     Refine Mesh
   48         152      0.0689342     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 77791.455011 seconds.
20110128


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0800682             1      
    1           2      0.0800682           0.5     Refine Mesh
    2           6      0.0800682          0.25     Refine Mesh
    3          10      0.0731572           0.5     Successful Poll
    4          14      0.0731572          0.25     Refine Mesh
    5          15      0.0721556           0.5     Successful Poll
    6          18      0.0720204             1     Successful Poll
    7          20      0.0720204           0.5     Refine Mesh
    8          23      0.0720204          0.25     Refine Mesh
    9          27      0.0720204         0.125     Refine Mesh
   10          31      0.0720204        0.0625     Refine Mesh
   11          35      0.0720204       0.03125     Refine Mesh
   12          39      0.0720204       0.01563     Refine Mesh
   13          43      0.0718755       0.03125     Successful Poll
   14          47      0.0718755       0.01563     Refine Mesh
   15          48      0.0715945       0.03125     Successful Poll
   16          52      0.0715945       0.01563     Refine Mesh
   17          56      0.0715532       0.03125     Successful Poll
   18          57      0.0710668        0.0625     Successful Poll
   19          61      0.0710668       0.03125     Refine Mesh
   20          65      0.0710668       0.01563     Refine Mesh
   21          69      0.0710668      0.007813     Refine Mesh
   22          70      0.0710138       0.01563     Successful Poll
   23          73      0.0708325       0.03125     Successful Poll
   24          77      0.0708325       0.01563     Refine Mesh
   25          81      0.0708325      0.007813     Refine Mesh
   26          85      0.0708325      0.003906     Refine Mesh
   27          89      0.0708325      0.001953     Refine Mesh
   28          92      0.0705999      0.003906     Successful Poll
   29          96      0.0705999      0.001953     Refine Mesh
   30         100      0.0705999     0.0009766     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         103      0.0705258      0.001953     Successful Poll
   32         107      0.0705258     0.0009766     Refine Mesh
   33         111      0.0705258     0.0004883     Refine Mesh
   34         115      0.0705258     0.0002441     Refine Mesh
   35         119      0.0705258     0.0001221     Refine Mesh
   36         122      0.0704338     0.0002441     Successful Poll
   37         125      0.0704231     0.0004883     Successful Poll
   38         129      0.0704231     0.0002441     Refine Mesh
   39         133      0.0704231     0.0001221     Refine Mesh
   40         137      0.0704231     6.104e-05     Refine Mesh
   41         141      0.0704231     3.052e-05     Refine Mesh
   42         145      0.0704231     1.526e-05     Refine Mesh
   43         149      0.0704231     7.629e-06     Refine Mesh
   44         152      0.0702794     1.526e-05     Successful Poll
   45         156      0.0702794     7.629e-06     Refine Mesh
   46         160      0.0702794     3.815e-06     Refine Mesh
   47         164      0.0702794     1.907e-06     Refine Mesh
   48         168      0.0702794     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 82057.475716 seconds.
20110124


Iter     Func-count       f(x)      MeshSize     Method
    0           1      0.0484626             1      
    1           2      0.0484626           0.5     Refine Mesh
    2           5      0.0483978             1     Successful Poll
    3           6      0.0483978           0.5     Refine Mesh
    4           9      0.0483978          0.25     Refine Mesh
    5          12      0.0468908           0.5     Successful Poll
    6          15      0.0468908          0.25     Refine Mesh
    7          18      0.0468908         0.125     Refine Mesh
    8          20      0.0466225          0.25     Successful Poll
    9          21       0.046416           0.5     Successful Poll
   10          24       0.046416          0.25     Refine Mesh
   11          25      0.0463973           0.5     Successful Poll
   12          29      0.0463973          0.25     Refine Mesh
   13          33      0.0463973         0.125     Refine Mesh
   14          37      0.0463973        0.0625     Refine Mesh
   15          41      0.0463973       0.03125     Refine Mesh
   16          45      0.0463973       0.01563     Refine Mesh
   17          49      0.0463973      0.007813     Refine Mesh
   18          53      0.0463973      0.003906     Refine Mesh
   19          56      0.0463198      0.007813     Successful Poll
   20          60      0.0463198      0.003906     Refine Mesh
   21          64      0.0463198      0.001953     Refine Mesh
   22          68      0.0463198     0.0009766     Refine Mesh
   23          72      0.0463198     0.0004883     Refine Mesh
   24          73      0.0462865     0.0009766     Successful Poll
   25          77      0.0462865     0.0004883     Refine Mesh
   26          81      0.0462005     0.0009766     Successful Poll
   27          85      0.0462005     0.0004883     Refine Mesh
   28          89      0.0462005     0.0002441     Refine Mesh
   29          93      0.0462005     0.0001221     Refine Mesh
   30          97      0.0462005     6.104e-05     Refine Mesh

Iter     Func-count        f(x)       MeshSize      Method
   31         101      0.0462005     3.052e-05     Refine Mesh
   32         105      0.0462005     1.526e-05     Refine Mesh
   33         109      0.0462005     7.629e-06     Refine Mesh
   34         113      0.0462005     3.815e-06     Refine Mesh
   35         117      0.0462005     1.907e-06     Refine Mesh
   36         121      0.0462005     9.537e-07     Refine Mesh
Optimization terminated: mesh size less than options.MeshTolerance.
Elapsed time is 85115.753425 seconds.
20110202


Iter     Func-count       f(x)      MeshSize     Method
    0           1       0.114423             1      
    1           2       0.114423           0.5     Refine Mesh
    2           5       0.113515             1     Successful Poll
    3           6       0.113515           0.5     Refine Mesh
    4           9       0.113515          0.25     Refine Mesh
    5          10       0.113094           0.5     Successful Poll
    6          13       0.113094          0.25     Refine Mesh
    7          17      0.0875232           0.5     Successful Poll
    8          20      0.0875232          0.25     Refine Mesh
    9          21      0.0872479           0.5     Successful Poll
   10          22      0.0863306             1     Successful Poll
   11          24      0.0863306           0.5     Refine Mesh
   12          28      0.0863306          0.25     Refine Mesh
   13          32      0.0863306         0.125     Refine Mesh
   14          36      0.0863306        0.0625     Refine Mesh
   15          40      0.0863306       0.03125     Refine Mesh
   16          44      0.0863306       0.01563     Refine Mesh
   17          48      0.0863306      0.007813     Refine Mesh
   18          52      0.0862804       0.01563     Successful Poll
   19          55       0.086083       0.03125     Successful Poll
   20          59       0.086083       0.01563     Refine Mesh
   21          63       0.086083      0.007813     Refine Mesh
   22          64      0.0859552       0.01563     Successful Poll
