,"RandomForestClassifier_5, max_depth='5'","RandomForestClassifier_7, max_depth='7'","RandomForestClassifier_9, max_depth='9'","RandomForestClassifier_11, max_depth='11'","RandomForestClassifier_13, max_depth='13'","RandomForestClassifier_15, max_depth='15'","RandomForestClassifier_21, max_depth='21'"
8,0.21957040572792363,0.2004773269689738,0.16706443914081148,0.14319809069212408,0.16229116945107402,0.15513126491646778,0.15513126491646778
9,0.2124105011933174,0.16945107398568016,0.14319809069212408,0.116945107398568,0.14319809069212408,0.13365155131264916,0.13365155131264916
10,0.2004773269689738,0.17422434367541761,0.14319809069212408,0.10978520286396176,0.13126491646778038,0.1288782816229117,0.1288782816229117
11,0.21002386634844872,0.17183770883054894,0.14797136038186154,0.10978520286396176,0.13365155131264916,0.13365155131264916,0.13365155131264916
12,0.20525059665871126,0.1646778042959427,0.1408114558472554,0.10978520286396176,0.11217183770883055,0.10739856801909309,0.10739856801909309
13,0.19570405727923623,0.15990453460620524,0.1408114558472554,0.10739856801909309,0.11455847255369933,0.10978520286396176,0.10978520286396176
14,0.19570405727923623,0.15035799522673032,0.13365155131264916,0.10739856801909309,0.1050119331742243,0.1050119331742243,0.1050119331742243
15,0.19809069212410502,0.14558472553699287,0.13126491646778038,0.11455847255369933,0.10262529832935563,0.10262529832935563,0.10262529832935563
16,0.2004773269689738,0.152744630071599,0.1288782816229117,0.11217183770883055,0.10978520286396176,0.10262529832935563,0.10262529832935563
17,0.19570405727923623,0.14558472553699287,0.12649164677804292,0.11455847255369933,0.11455847255369933,0.10978520286396176,0.10978520286396176
18,0.1885441527446301,0.13842482100238662,0.12410501193317425,0.10978520286396176,0.10978520286396176,0.10262529832935563,0.10262529832935563
19,0.1885441527446301,0.13365155131264916,0.11933174224343679,0.11217183770883055,0.10978520286396176,0.10023866348448685,0.10023866348448685
20,0.19331742243436756,0.12171837708830546,0.12410501193317425,0.10739856801909309,0.10739856801909309,0.09785202863961817,0.09785202863961817
21,0.19570405727923623,0.12649164677804292,0.12410501193317425,0.10978520286396176,0.10978520286396176,0.10262529832935563,0.10262529832935563
22,0.19570405727923623,0.12649164677804292,0.12649164677804292,0.11217183770883055,0.11455847255369933,0.1050119331742243,0.1050119331742243
23,0.19093078758949877,0.12410501193317425,0.12410501193317425,0.1050119331742243,0.10739856801909309,0.1050119331742243,0.1050119331742243
24,0.18377088305489264,0.12171837708830546,0.11933174224343679,0.10023866348448685,0.10739856801909309,0.10262529832935563,0.10262529832935563
25,0.18615751789976132,0.12171837708830546,0.11455847255369933,0.09785202863961817,0.10739856801909309,0.10262529832935563,0.10262529832935563
26,0.18615751789976132,0.12410501193317425,0.11217183770883055,0.09307875894988071,0.10739856801909309,0.1050119331742243,0.1050119331742243
27,0.1885441527446301,0.12410501193317425,0.1050119331742243,0.09069212410501193,0.1050119331742243,0.10262529832935563,0.10262529832935563
28,0.18138424821002386,0.12410501193317425,0.10023866348448685,0.09546539379474939,0.10262529832935563,0.1050119331742243,0.1050119331742243
29,0.17899761336515518,0.116945107398568,0.10262529832935563,0.08591885441527447,0.09546539379474939,0.09546539379474939,0.09546539379474939
30,0.18377088305489264,0.11933174224343679,0.10023866348448685,0.08591885441527447,0.09785202863961817,0.09546539379474939,0.09785202863961817
31,0.18138424821002386,0.11933174224343679,0.10262529832935563,0.08830548926014314,0.09069212410501193,0.09069212410501193,0.09307875894988071
32,0.17422434367541761,0.11933174224343679,0.10739856801909309,0.09069212410501193,0.09307875894988071,0.08830548926014314,0.09069212410501193
33,0.16945107398568016,0.12410501193317425,0.10023866348448685,0.08591885441527447,0.10023866348448685,0.09069212410501193,0.09307875894988071
34,0.1646778042959427,0.12171837708830546,0.09785202863961817,0.08591885441527447,0.10023866348448685,0.09307875894988071,0.09307875894988071
35,0.16706443914081148,0.11455847255369933,0.09069212410501193,0.08830548926014314,0.09069212410501193,0.08830548926014314,0.08830548926014314
36,0.17422434367541761,0.116945107398568,0.09069212410501193,0.08591885441527447,0.08830548926014314,0.08830548926014314,0.08830548926014314
37,0.1766109785202864,0.116945107398568,0.08591885441527447,0.08591885441527447,0.08114558472553701,0.08353221957040569,0.08353221957040569
38,0.17899761336515518,0.116945107398568,0.09069212410501193,0.08591885441527447,0.08353221957040569,0.08353221957040569,0.08353221957040569
39,0.17422434367541761,0.11933174224343679,0.09069212410501193,0.08830548926014314,0.08591885441527447,0.08591885441527447,0.08591885441527447
40,0.17422434367541761,0.11933174224343679,0.08591885441527447,0.08591885441527447,0.08353221957040569,0.08353221957040569,0.08353221957040569
41,0.17422434367541761,0.116945107398568,0.08830548926014314,0.08591885441527447,0.08353221957040569,0.07875894988066823,0.07875894988066823
42,0.17422434367541761,0.11217183770883055,0.09307875894988071,0.08591885441527447,0.08353221957040569,0.07875894988066823,0.07875894988066823
43,0.17183770883054894,0.116945107398568,0.09546539379474939,0.08353221957040569,0.08114558472553701,0.07637231503579955,0.07637231503579955
44,0.16945107398568016,0.11455847255369933,0.08830548926014314,0.08114558472553701,0.08114558472553701,0.07637231503579955,0.07875894988066823
45,0.16945107398568016,0.116945107398568,0.08830548926014314,0.08114558472553701,0.07875894988066823,0.0715990453460621,0.07398568019093077
46,0.16706443914081148,0.11217183770883055,0.08353221957040569,0.07875894988066823,0.07637231503579955,0.06921241050119331,0.0715990453460621
47,0.16945107398568016,0.11217183770883055,0.08353221957040569,0.07637231503579955,0.0715990453460621,0.06443914081145585,0.06443914081145585
48,0.16945107398568016,0.10978520286396176,0.08353221957040569,0.07637231503579955,0.07398568019093077,0.06921241050119331,0.06921241050119331
49,0.1766109785202864,0.10978520286396176,0.08591885441527447,0.0715990453460621,0.06921241050119331,0.06682577565632464,0.06682577565632464
