cur_date,sens_pix,spec_pix,ud_pix,sens_sph,spec_sph,ud_sph
20100807,0.877219954408101,0.979097877212984,0.124546530792922,0.777431350475338,0.989298225664302,0.222825787836965
20100727,0.867591743119266,0.981335807050093,0.133717233701067,0.769656733697443,0.990618896976368,0.230534217470793
20100730,0.862762836185819,0.976999541914796,0.13915121344742,0.746506893802378,0.988084024302214,0.253773019382576
20100731,0.83867688976291,0.978456878701336,0.162755190306968,0.704598451124707,0.990094108897448,0.295567592534191
20100719,0.750380767157954,0.966613246629688,0.251842086842651,0.633709589595271,0.987239804886112,0.366512601875855
20100715,0.811555017196254,0.977837150007748,0.189743783728699,0.642483463541749,0.987946876277197,0.357719655082834
20100721,0.813289315097207,0.962720667408634,0.190395978149035,0.710601934868825,0.982151149148081,0.289947963570021
20110123,0.910802105428549,0.975045383651658,0.0926228766184285,0.84105543613084,0.985665856582111,0.159589605084674
20110211,0.877818305923509,0.97388834725107,0.124940725052651,0.826265535163898,0.978766065698874,0.175027267126557
20110120,0.762115672663435,0.982608783883193,0.238519197530076,0.636123887123833,0.989251633046845,0.364034823765569
20110209,0.836255041886441,0.970423634121908,0.16639462949917,0.811758731927613,0.978067714551073,0.189514643630811
20110210,0.857059981352947,0.966999312584445,0.14670001465821,0.83195716141254,0.973690908010672,0.170089870132921
20110122,0.901806265361058,0.946002096819183,0.112061514670594,0.838768030368037,0.979666693574522,0.16250905015289
20110129,0.756052279815832,0.984538532554547,0.244437204939468,0.661350186525949,0.989645664758394,0.338808070187688
20110207,0.861595380907001,0.970561495116271,0.141500756733197,0.752846055706829,0.987364137081441,0.247476740748234
