Date,HH+SegNets+FCN+LevelSets,Henney_Harvey,HenneyHarvey_With_RF,HH+Segnets (Union),HH+Segnets+LevelSets,FCN,HH+FCN (union),HH+FCN+SegNets(union),Unet,Segnet,Segnet_With_RF,Unet-1000epochs,LevelSets with Henney Harvey,LevelSets with FCN,LevelSets on SegNets
20100715,0.080328767826763,0.372174317,0.417266855503515,0.115645295719953,0.071259659642514,0.189743784,0.123311047493265,0.093047751097372,0.72808959,0.222498936,0.223024573963889,0.199327172,0.308789609,0.117180720948129,0.124359961103084
20100719,0.106743278183952,0.383514682,0.420668029850299,0.128888711845638,0.109044257335314,0.251842087,0.178243361904566,0.114032155160186,0.732263054,0.227623427,0.227222302325116,0.214781969,0.307418993,0.157413069365457,0.148030719018113
20100721,0.138322718684051,0.215563883,0.289624275771279,0.183091547048557,0.156834917050158,0.190395978,0.144271502241641,0.138599774929625,0.748303167,0.30322108,0.302620677504331,0.257041913,0.134637878,0.136719708410101,0.214068277239128
20100727,0.068627036525749,0.145150901,0.152510063129594,0.098905630079914,0.09480426454495,0.133717234,0.082189397214458,0.075314880992158,0.772081202,0.194486953,0.194407056719149,0.142030538,0.102581227,0.079541197391984,0.128431246998035
20100730,0.085396043029189,0.129843583,0.129748813338127,0.101286345534474,0.094081987186349,0.139151213,0.086879311563092,0.089527379124617,0.786036239,0.191809534,0.191870852909529,0.180931808,0.077892414,0.109639466889993,0.137416913629207
20100731,0.100103852164822,0.163755957,0.182578987105738,0.143931951278264,0.117819914342159,0.16275519,0.116881514523841,0.109160926593804,0.79405405,0.251481287,0.252655872610342,0.208054904,0.106205638,0.122750622831019,0.175956548458733
20100807,0.090854790393764,0.366546415,0.369423554808393,0.147925479118687,0.112594490552304,0.124546531,0.11204423275451,0.095917828364486,0.733611794,0.18672871,0.186717096138203,0.148288526,0.223944266,0.096657917057764,0.12509896431427
20110120,0.101312635115245,0.391974591,0.393329889905131,0.198484222773997,0.143465612856378,0.238519198,0.162035338059961,0.119565863773977,0.749387174,0.296009293,0.296072059130706,0.256987666,0.296275726,0.135380974009102,0.190959071747465
20110122,0.097995190993083,0.231530817,0.233380385102106,0.095967330871837,0.097342616848936,0.112061515,0.097818725132465,0.094056939074477,0.727248667,0.163708115,0.163096814146158,0.210403069,0.186420987,0.115400005306576,0.139831296866148
20110123,0.071046202939052,0.179034694,0.179486628929323,0.101782042598289,0.078462773116563,0.092622877,0.084711715084171,0.080033863416224,0.727278964,0.181191132,0.180948232493886,0.187992812,0.087480211,0.065843788394795,0.10706027896702
20110129,0.128709550657221,0.260965562,0.284611136128603,0.205265837060418,0.159829246152328,0.244437205,0.196290602438188,0.157814574252461,0.730151619,0.260305682,0.262725620050884,0.23117579,0.261669189,0.173861970240247,0.167661380835159
20110207,0.085781705139056,0.244783981,0.24549154736408,0.078816797635668,0.094498852944352,0.141500757,0.076510306240464,0.076041760548957,0.715291188,0.199157973,0.198714018274809,0.202594839,0.215742698,0.117263476189824,0.160845912006679
20110209,0.103421373173661,0.284934041,0.285171169842646,0.10229236289519,0.111833073810285,0.166394629,0.112394075256142,0.09418073525318,0.718675057,0.170893092,0.170753930018498,0.230462629,0.251634063,0.122706288366235,0.127543525143983
20110210,0.105973786094972,0.200558207,0.202707261924273,0.112025822325336,0.109561817838462,0.146700015,0.125233915982838,0.103364488338282,0.721054859,0.170191785,0.18411128491123,0.253346401,0.180779186,0.098173904609618,0.135081227937932
20110211,0.096406823155081,0.161424136,0.159815330987554,0.093937117328174,0.10956958297745,0.124940725,0.094038144396801,0.083428165240795,0.685358292,0.141296327,0.140757930566582,0.182147083,0.149753774,0.088943284867715,0.14429136434928
