trees,splits1,splits5,splits10,splits20,splits50,splits100
1,0.431436314363137,0.406504065040643,0.409756097560968,0.402710027100263,0.407046070460697,0.405420054200535
2,0.378861788617878,0.358265582655818,0.347967479674789,0.345257452574518,0.358807588075873,0.360433604336035
3,0.337127371273704,0.323577235772349,0.315447154471536,0.310569105691048,0.325203252032512,0.331165311653108
4,0.310569105691048,0.286720867208663,0.291056910569097,0.284010840108392,0.302439024390235,0.301355013550127
5,0.301897018970181,0.275338753387525,0.274254742547416,0.263414634146332,0.28888888888888,0.281300813008121
6,0.284010840108392,0.267750677506766,0.262872628726278,0.25799457994579,0.275338753387525,0.27859078590785
7,0.275880758807579,0.255284552845519,0.254742547425465,0.249864498644977,0.267208672086712,0.275880758807579
8,0.274254742547416,0.250406504065031,0.249864498644977,0.247154471544706,0.263414634146332,0.265582655826549
9,0.269376693766928,0.249864498644977,0.241734417344164,0.245528455284544,0.255826558265573,0.267208672086712
10,0.265582655826549,0.246612466124652,0.244444444444435,0.246612466124652,0.254200542005411,0.262872628726278
11,0.267750677506766,0.244986449864489,0.24119241192411,0.246070460704598,0.253658536585356,0.259620596205953
12,0.266124661246603,0.245528455284544,0.240108401084002,0.246070460704598,0.256368563685627,0.253658536585356
13,0.260704607046061,0.248780487804869,0.239024390243893,0.243360433604327,0.255826558265573,0.253116531165302
14,0.257452574525736,0.244986449864489,0.23468834688346,0.243902439024381,0.248238482384814,0.25149051490514
15,0.254742547425465,0.244986449864489,0.234146341463406,0.241734417344164,0.246070460704598,0.252032520325194
16,0.254200542005411,0.244444444444435,0.23468834688346,0.241734417344164,0.244444444444435,0.24769647696476
17,0.252574525745248,0.246612466124652,0.235230352303514,0.243902439024381,0.244444444444435,0.248238482384814
18,0.253116531165302,0.24769647696476,0.238482384823839,0.242276422764218,0.243902439024381,0.248238482384814
19,0.254742547425465,0.243902439024381,0.238482384823839,0.24119241192411,0.242276422764218,0.244444444444435
20,0.26178861788617,0.243360433604327,0.237940379403785,0.237940379403785,0.241734417344164,0.241734417344164
21,0.260704607046061,0.243902439024381,0.239024390243893,0.235230352303514,0.243902439024381,0.242276422764218
22,0.262872628726278,0.243360433604327,0.237398373983731,0.235230352303514,0.246070460704598,0.243360433604327
23,0.260162601626007,0.240108401084002,0.237940379403785,0.235230352303514,0.242818428184273,0.242276422764218
24,0.260162601626007,0.240108401084002,0.238482384823839,0.23468834688346,0.241734417344164,0.240108401084002
25,0.26178861788617,0.240650406504056,0.237398373983731,0.236856368563677,0.239566395663948,0.238482384823839
26,0.260704607046061,0.242276422764218,0.237940379403785,0.236314363143623,0.240108401084002,0.237398373983731
27,0.262330623306224,0.242818428184273,0.236856368563677,0.235230352303514,0.237398373983731,0.239566395663948
28,0.259078590785899,0.243360433604327,0.237940379403785,0.233062330623297,0.239566395663948,0.24119241192411
29,0.256368563685627,0.240650406504056,0.236314363143623,0.230894308943081,0.240650406504056,0.240650406504056
30,0.256910569105682,0.242276422764218,0.235772357723568,0.228726287262864,0.240650406504056,0.238482384823839
31,0.260162601626007,0.242276422764218,0.236314363143623,0.229268292682918,0.239024390243893,0.238482384823839
